Transport type,Departure date,Number of employees,Flight classes (Economy / Business / First / Unknown),Origin Location (Flight / Road / Rail),Destination Location (Flight / Road / Rail),Distance in km,Short-haul flight (<1000km),Long-haul flight (>1000km),Short-haul Road ride (<30km),Long-haul Road ride (>30km),Short-haul Rail ride (<200km),Long-haul Rail ride (>200km)
"Rail, Road or Flight. Note capitalisation. Use singular.",Date format must be YYYY-MM-DD,# of employees on trip,Flights only,"Flight: Use three letter airport code. Rail & Road: Address or name of Rail station. For airport codes, access our Help Centre.","Flight: Use three letter airport code. Rail & Road: Address or name of Rail station. For airport codes, access our Help Centre.",Use when missing trip locations.,Only when missing trip locations or distance data.,Only when missing trip locations or distance data.,Only when missing trip locations or distance data.,Only when missing trip locations or distance data.,Only when missing trip locations or distance data.,Only when missing trip locations or distance data.
Flight,2023-03-16,1.0,Economy,BER,GVA,,,,,,,
Rail,2023-03-22,1.0,,Berlin Hbf,München Hbf,,,,,,,
Flight,2023-03-23,1.0,Economy,MUC,CDG,,,,,,,
Rail,2023-03-23,1.0,,Berlin Hbf,Paris Gare de l’Est,,,,,,,
Flight,2023-03-26,1.0,Economy,CDG,BER,,,,,,,
Flight,2023-03-28,1.0,Economy,DUB,BER,,,,,,,
Rail,2023-03-28,1.0,,Frankfurt (Main) Hbf,Berlin Hbf,,,,,,,
Rail,2023-03-29,1.0,,Berlin Hbf,Frankfurt (Main) Hbf,,,,,,,
Rail,2023-03-29,1.0,,München Hbf,Berlin Hbf,,,,,,,
Flight,2023-03-30,1.0,Economy,BER,DUB,,,,,,,
Rail,2023-03-30,1.0,,Berlin Hbf,München Hbf,,,,,,,
Rail,2023-03-31,1.0,,Berlin Hbf,Hamburg Hbf,,,,,,,
Rail,2023-04-02,1.0,,Hamburg Hbf,Berlin Hbf,,,,,,,
Rail,2023-04-02,1.0,,Berlin Hbf (tief),München Hbf,,,,,,,
Rail,2023-04-02,1.0,,Berlin Hbf,München Hbf,,,,,,,
Rail,2023-04-03,1.0,,Berlin Hbf,München Hbf,,,,,,,
Rail,2023-04-04,1.0,,Erlangen,Berlin Hbf,,,,,,,
Rail,2023-04-04,1.0,,München Hbf,Erlangen,,,,,,,
Rail,2023-04-04,1.0,,Erlangen,Berlin Hbf,,,,,,,
Rail,2023-04-13,1.0,,Berlin Hbf,Hamburg Hbf,,,,,,,
Rail,2023-04-14,1.0,,Hamburg Hbf,Berlin Hbf,,,,,,,
Flight,2023-04-17,1.0,Economy,SOF,CDG,,,,,,,
